"pred","pred_rovid","csoport","out","out_rovid","r_ns","n_atbillenes_expert","n_95pct_semleges","P_expert_n6","P_expert_n30","P_expert_n100","adat_iranya","jelentes"
"A2","A2 gerincmagasság ↓","Alsó állcsont","s_INDEX","Siker-index",0.4462,,20,0.9934,0.9998,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A2","A2 gerincmagasság ↓","Alsó állcsont","s_MAI","MAI",-0.3696,40,25,0.9522,0.5964,0.0049,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A2","A2 gerincmagasság ↓","Alsó állcsont","s_OHIP","OHIP-5",0.3626,,25,0.9916,0.9993,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A2","A2 gerincmagasság ↓","Alsó állcsont","s_RAGAS","Önbev. rágás",0.2498,,50,0.9888,0.9976,0.9999,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A4","A4 torus mandibularis","Alsó állcsont","s_GOHAI","GOHAI",-0,,,0.98,0.98,0.98,"nincs jel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A4","A4 torus mandibularis","Alsó állcsont","s_INDEX","Siker-index",-0,,,0.98,0.98,0.98,"nincs jel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A4","A4 torus mandibularis","Alsó állcsont","s_MAI","MAI",0.8113,,8,0.9987,1,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A4","A4 torus mandibularis","Alsó állcsont","s_OHIP","OHIP-5",-0.0031,,,0.9799,0.9795,0.979,"nincs jel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A4","A4 torus mandibularis","Alsó állcsont","s_RAGAS","Önbev. rágás",0.1703,,100,0.9865,0.9949,0.999,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A5","A5 lingualis tasak ↑","Alsó állcsont","s_GOHAI","GOHAI",0.2015,,80,0.98740000000000006,0.9962,0.9995,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A5","A5 lingualis tasak ↑","Alsó állcsont","s_INDEX","Siker-index",0.1056,,300,0.9843,0.9913,0.9964,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A5","A5 lingualis tasak ↑","Alsó állcsont","s_MAI","MAI",-0.4684,25,20,0.9376,0.2544,0,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A5","A5 lingualis tasak ↑","Alsó állcsont","s_OHIP","OHIP-5",-0.0508,,,0.9776,0.9704,0.9567,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A5","A5 lingualis tasak ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",0.0013,,,0.9801,0.9802,0.9804,"nincs jel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F1","F1 gerincmagasság ↓","Felső állcsont","s_GOHAI","GOHAI",-0.0857,,500,0.9757,0.9613,0.9254,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F1","F1 gerincmagasság ↓","Felső állcsont","s_INDEX","Siker-index",0.0399,,,0.9817,0.9853,0.9892,"nincs jel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F1","F1 gerincmagasság ↓","Felső állcsont","s_MAI","MAI",-0.4737,25,20,0.9367,0.2378,0,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F1","F1 gerincmagasság ↓","Felső állcsont","s_OHIP","OHIP-5",-0.0491,,,0.9777,0.9708,0.9578,"nincs jel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F1","F1 gerincmagasság ↓","Felső állcsont","s_RAGAS","Önbev. rágás",-0.1333,300,200,0.9729,0.9437,0.84,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F3","F3 boltozat ↓","Felső állcsont","s_GOHAI","GOHAI",0.8592,,6,0.9953,1,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F3","F3 boltozat ↓","Felső állcsont","s_INDEX","Siker-index",0.6036,,12,0.9789,1,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F3","F3 boltozat ↓","Felső állcsont","s_MAI","MAI",0.4738,,20,0.9676,0.9993,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F3","F3 boltozat ↓","Felső állcsont","s_OHIP","OHIP-5",0.4317,,20,0.9634,0.9986,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F3","F3 boltozat ↓","Felső állcsont","s_RAGAS","Önbev. rágás",0.4989,,15,0.9699,0.9995,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F4","F4 gerincalak-szög ↓","Felső állcsont","s_GOHAI","GOHAI",0.3966,,25,0.9597,0.9977,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F4","F4 gerincalak-szög ↓","Felső állcsont","s_INDEX","Siker-index",0.6208,,12,0.9802,1,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F4","F4 gerincalak-szög ↓","Felső állcsont","s_MAI","MAI",0.1987,,80,0.9347,0.9791,0.9971,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F4","F4 gerincalak-szög ↓","Felső állcsont","s_OHIP","OHIP-5",0.7903,,8,0.9916,1,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F4","F4 gerincalak-szög ↓","Felső állcsont","s_RAGAS","Önbev. rágás",0.4989,,15,0.9699,0.9995,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F5","F5 lötyögő gerinc","Felső állcsont","s_GOHAI","GOHAI",0.2794,,40,0.8859,0.9787,0.9993,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F5","F5 lötyögő gerinc","Felső állcsont","s_INDEX","Siker-index",0.6283,,10,0.9578,0.9999,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F5","F5 lötyögő gerinc","Felső állcsont","s_MAI","MAI",0.2794,,40,0.8859,0.9787,0.9993,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F5","F5 lötyögő gerinc","Felső állcsont","s_OHIP","OHIP-5",0.8192,,8,0.9849,1,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F5","F5 lötyögő gerinc","Felső állcsont","s_RAGAS","Önbev. rágás",0.6857,,10,0.9668,1,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F6","F6 |szög−90°| ↑","Felső állcsont","s_GOHAI","GOHAI",-0.0588,,,0.9772,0.9686,0.951,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F6","F6 |szög−90°| ↑","Felső állcsont","s_INDEX","Siker-index",0.1717,,100,0.9865,0.995,0.999,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F6","F6 |szög−90°| ↑","Felső állcsont","s_MAI","MAI",0.4908,,15,0.9942,0.9999,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F6","F6 |szög−90°| ↑","Felső állcsont","s_OHIP","OHIP-5",0.02,,,0.9809,0.9829,0.9853,"nincs jel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F6","F6 |szög−90°| ↑","Felső állcsont","s_RAGAS","Önbev. rágás",0.1352,,200,0.9853,0.9932,0.9979,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F7","F7 torus palatinus","Felső állcsont","s_GOHAI","GOHAI",0,,,0.98,0.98,0.98,"nincs jel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F7","F7 torus palatinus","Felső állcsont","s_INDEX","Siker-index",-0.3489,40,30,0.9547,0.6577,0.0114,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F7","F7 torus palatinus","Felső állcsont","s_MAI","MAI",-0.6283,15,10,0.8962,0.0103,0,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F7","F7 torus palatinus","Felső állcsont","s_OHIP","OHIP-5",-0.3474,40,30,0.9549,0.6619,0.0121,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F7","F7 torus palatinus","Felső állcsont","s_RAGAS","Önbev. rágás",-0.3429,40,30,0.9554,0.6743,0.0145,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"TUB","A6–A9 tuberculum ↑","Alsó állcsont","s_GOHAI","GOHAI",0.61,,12,0.9961,1,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"TUB","A6–A9 tuberculum ↑","Alsó állcsont","s_INDEX","Siker-index",0.7349,,8,0.9978,1,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"TUB","A6–A9 tuberculum ↑","Alsó állcsont","s_MAI","MAI",0.0801,,500,0.9833,0.9893,0.9944,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"TUB","A6–A9 tuberculum ↑","Alsó állcsont","s_OHIP","OHIP-5",0.8776,,6,0.9993,1,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"TUB","A6–A9 tuberculum ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",0.7548,,8,0.9981,1,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
