"pred","pred_cimke","pred_rovid","csoport","irany_van","out","out_cimke","blokk","out_rovid","n","x_szintek","rho","loo_min","loo_max","r_normal_score","egyezes"
"A10","A10 · állcsontreláció szöge (°)","A10 állcsontreláció (nyers)","Nincs tankönyvi irány",FALSE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",6,6,0.6768,0.527,0.8721,0.6636,"nincs tankönyvi irány"
"A11","A11 · szublingvális tájék / szájfenék","A11 szájfenék ↑","Alsó állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",6,3,0.0617,-0.2887,0.527,0.0978,"semleges (|ρ| ≤ 0,1)"
"A11","A11 · szublingvális tájék / szájfenék","A11 szájfenék ↑","Alsó állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",6,3,0.216,-0.0527,0.7379,0.2088,"egyezik az elődökkel"
"A11","A11 · szublingvális tájék / szájfenék","A11 szájfenék ↑","Alsó állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",6,3,-0.4938,-0.866,-0.2635,-0.4393,"ellentmond az elődöknek"
"A11","A11 · szublingvális tájék / szájfenék","A11 szájfenék ↑","Alsó állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",6,3,0.2035,-0.1081,0.703,0.1658,"egyezik az elődökkel"
"A11","A11 · szublingvális tájék / szájfenék","A11 szájfenék ↑","Alsó állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",6,3,-0.1167,-0.4714,0.3043,-0.1219,"ellentmond az elődöknek"
"A11","A11 · szublingvális tájék / szájfenék","A11 szájfenék ↑","Alsó állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",6,3,0.7671,0.703,0.803,0.7024,"egyezik az elődökkel"
"A11","A11 · szublingvális tájék / szájfenék","A11 szájfenék ↑","Alsó állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",6,3,-0.0183,-0.3953,0.3227,-0.0214,"semleges (|ρ| ≤ 0,1)"
"A11","A11 · szublingvális tájék / szájfenék","A11 szájfenék ↑","Alsó állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",6,3,-0.7407,-0.866,-0.6325,-0.646,"ellentmond az elődöknek"
"A11","A11 · szublingvális tájék / szájfenék","A11 szájfenék ↑","Alsó állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",6,3,-0.0636,-0.5556,0.3043,-0.0589,"semleges (|ρ| ≤ 0,1)"
"A12","A12 · spinae mentales","A12 spinae mentales","Alsó állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",6,2,0.0976,-0.2887,0.5774,0.0782,"semleges (|ρ| ≤ 0,1)"
"A12","A12 · spinae mentales","A12 spinae mentales","Alsó állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",6,2,0.2928,0,0.866,0.2507,"egyezik az elődökkel"
"A12","A12 · spinae mentales","A12 spinae mentales","Alsó állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",6,2,-0.2928,-0.866,0,-0.2507,"ellentmond az elődöknek"
"A12","A12 · spinae mentales","A12 spinae mentales","Alsó állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",6,2,0.198,-0.1481,0.7404,0.1667,"egyezik az elődökkel"
"A12","A12 · spinae mentales","A12 spinae mentales","Alsó állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",6,2,0.3162,0,1,0.2441,"egyezik az elődökkel"
"A12","A12 · spinae mentales","A12 spinae mentales","Alsó állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",6,2,0,-0.4443,0.4443,0,"semleges (|ρ| ≤ 0,1)"
"A12","A12 · spinae mentales","A12 spinae mentales","Alsó állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",6,2,-0.6928,-0.9682,-0.61240000000000006,-0.6778,"ellentmond az elődöknek"
"A12","A12 · spinae mentales","A12 spinae mentales","Alsó állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",6,2,-0.0976,-0.5774,0.2887,-0.0782,"semleges (|ρ| ≤ 0,1)"
"A12","A12 · spinae mentales","A12 spinae mentales","Alsó állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",6,2,-0.402,-0.8885,-0.1521,-0.4081,"ellentmond az elődöknek"
"A2","A2 · alsó gerincmagasság, modellanalízis (mm)","A2 gerincmagasság ↓","Alsó állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",6,6,0.2571,-0.3,0.7,0.3206,"egyezik az elődökkel"
"A2","A2 · alsó gerincmagasság, modellanalízis (mm)","A2 gerincmagasság ↓","Alsó állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",6,6,0.4286,0,1,0.4462,"egyezik az elődökkel"
"A2","A2 · alsó gerincmagasság, modellanalízis (mm)","A2 gerincmagasság ↓","Alsó állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",6,6,-0.4286,-0.6,-0.1,-0.3696,"ellentmond az elődöknek"
"A2","A2 · alsó gerincmagasság, modellanalízis (mm)","A2 gerincmagasság ↓","Alsó állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",6,6,0.3479,-0.1539,0.8721,0.3626,"egyezik az elődökkel"
"A2","A2 · alsó gerincmagasság, modellanalízis (mm)","A2 gerincmagasság ↓","Alsó állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",6,6,0.2777,-0.2236,0.866,0.2498,"egyezik az elődökkel"
"A2","A2 · alsó gerincmagasság, modellanalízis (mm)","A2 gerincmagasság ↓","Alsó állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",6,6,0.4638,0.0513,0.8208,0.5048,"egyezik az elődökkel"
"A2","A2 · alsó gerincmagasság, modellanalízis (mm)","A2 gerincmagasság ↓","Alsó állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",6,6,-0.3719,-0.7826,-0.2236,-0.2919,"ellentmond az elődöknek"
"A2","A2 · alsó gerincmagasság, modellanalízis (mm)","A2 gerincmagasság ↓","Alsó állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",6,6,-0.3714,-0.6,-0.1,-0.3186,"ellentmond az elődöknek"
"A2","A2 · alsó gerincmagasság, modellanalízis (mm)","A2 gerincmagasság ↓","Alsó állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",6,6,-0.2942,-0.7182,0.0527,-0.2707,"ellentmond az elődöknek"
"A3","A3 · buccinator tasak (beszűkülő vs. egyéb)","A3 buccinator (nyers)","Nincs tankönyvi irány",FALSE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",6,2,0,-0.2887,0.2887,0,"nincs tankönyvi irány"
"A3","A3 · buccinator tasak (beszűkülő vs. egyéb)","A3 buccinator (nyers)","Nincs tankönyvi irány",FALSE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",6,2,-0.414,-0.866,-0.2887,-0.3489,"nincs tankönyvi irány"
"A3","A3 · buccinator tasak (beszűkülő vs. egyéb)","A3 buccinator (nyers)","Nincs tankönyvi irány",FALSE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",6,2,-0.6211,-0.866,-0.3536,-0.6283,"nincs tankönyvi irány"
"A3","A3 · buccinator tasak (beszűkülő vs. egyéb)","A3 buccinator (nyers)","Nincs tankönyvi irány",FALSE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",6,2,-0.4201,-0.8885,-0.2962,-0.3474,"nincs tankönyvi irány"
"A3","A3 · buccinator tasak (beszűkülő vs. egyéb)","A3 buccinator (nyers)","Nincs tankönyvi irány",FALSE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",6,2,-0.3354,-0.6455,0,-0.3429,"nincs tankönyvi irány"
"A3","A3 · buccinator tasak (beszűkülő vs. egyéb)","A3 buccinator (nyers)","Nincs tankönyvi irány",FALSE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",6,2,0.21,-0.3627,0.7255,0.282,"nincs tankönyvi irány"
"A3","A3 · buccinator tasak (beszűkülő vs. egyéb)","A3 buccinator (nyers)","Nincs tankönyvi irány",FALSE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",6,2,0.3674,-0.25,0.7906,0.4141,"nincs tankönyvi irány"
"A3","A3 · buccinator tasak (beszűkülő vs. egyéb)","A3 buccinator (nyers)","Nincs tankönyvi irány",FALSE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",6,2,-0.207,-0.7071,0.3536,-0.2794,"nincs tankönyvi irány"
"A3","A3 · buccinator tasak (beszűkülő vs. egyéb)","A3 buccinator (nyers)","Nincs tankönyvi irány",FALSE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",6,2,-0.533,-0.7607,-0.1863,-0.5647,"nincs tankönyvi irány"
"A4","A4 · torus mandibularis","A4 torus mandibularis","Alsó állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",6,2,0,-0.7071,0.7071,-0,"semleges (|ρ| ≤ 0,1)"
"A4","A4 · torus mandibularis","A4 torus mandibularis","Alsó állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",6,2,0,-0.7071,0.7071,-0,"semleges (|ρ| ≤ 0,1)"
"A4","A4 · torus mandibularis","A4 torus mandibularis","Alsó állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",6,2,0.8281,0.7071,0.866,0.8113,"egyezik az elődökkel"
"A4","A4 · torus mandibularis","A4 torus mandibularis","Alsó állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",6,2,0,-0.7255,0.7255,-0.0031,"semleges (|ρ| ≤ 0,1)"
"A4","A4 · torus mandibularis","A4 torus mandibularis","Alsó állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",6,2,0.1118,-0.61240000000000006,0.7906,0.1703,"egyezik az elődökkel"
"A4","A4 · torus mandibularis","A4 torus mandibularis","Alsó állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",6,2,-0.5251,-0.7404,-0.1814,-0.5504,"ellentmond az elődöknek"
"A4","A4 · torus mandibularis","A4 torus mandibularis","Alsó állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",6,2,0.1225,-0.25,0.61240000000000006,0.0651,"egyezik az elődökkel"
"A4","A4 · torus mandibularis","A4 torus mandibularis","Alsó állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",6,2,0.6211,0.3536,0.866,0.6283,"egyezik az elődökkel"
"A4","A4 · torus mandibularis","A4 torus mandibularis","Alsó állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",6,2,0.4264,0.1814,0.7404,0.4242,"egyezik az elődökkel"
"A5","A5 · lingualis tasak (izomerő iránya)","A5 lingualis tasak ↑","Alsó állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",6,3,0.239,-0.1054,0.9487,0.2015,"egyezik az elődökkel"
"A5","A5 · lingualis tasak (izomerő iránya)","A5 lingualis tasak ↑","Alsó állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",6,3,0.1195,-0.3162,0.7379,0.1056,"egyezik az elődökkel"
"A5","A5 · lingualis tasak (izomerő iránya)","A5 lingualis tasak ↑","Alsó állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",6,3,-0.4781,-0.6325,-0.1054,-0.4684,"ellentmond az elődöknek"
"A5","A5 · lingualis tasak (izomerő iránya)","A5 lingualis tasak ↑","Alsó állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",6,3,-0.0606,-0.6489,0.4326,-0.0508,"semleges (|ρ| ≤ 0,1)"
"A5","A5 · lingualis tasak (izomerő iránya)","A5 lingualis tasak ↑","Alsó állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",6,3,0.0645,-0.3536,0.7607,0.0013,"semleges (|ρ| ≤ 0,1)"
"A5","A5 · lingualis tasak (izomerő iránya)","A5 lingualis tasak ↑","Alsó állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",6,3,0.3032,-0.1352,0.703,0.3178,"egyezik az elődökkel"
"A5","A5 · lingualis tasak (izomerő iránya)","A5 lingualis tasak ↑","Alsó állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",6,3,-0.3536,-0.6482,-0.1768,-0.3143,"ellentmond az elődöknek"
"A5","A5 · lingualis tasak (izomerő iránya)","A5 lingualis tasak ↑","Alsó állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",6,3,-0.239,-0.6325,0.2635,-0.2571,"ellentmond az elődöknek"
"A5","A5 · lingualis tasak (izomerő iránya)","A5 lingualis tasak ↑","Alsó állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",6,3,-0.7385,-0.8922,-0.5556,-0.7348,"ellentmond az elődöknek"
"F1","F1 · felső gerincmagasság (mm)","F1 gerincmagasság ↓","Felső állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",6,6,-0.0286,-0.3,0.7,-0.0857,"semleges (|ρ| ≤ 0,1)"
"F1","F1 · felső gerincmagasság (mm)","F1 gerincmagasság ↓","Felső állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",6,6,0.1429,0,1,0.0399,"egyezik az elődökkel"
"F1","F1 · felső gerincmagasság (mm)","F1 gerincmagasság ↓","Felső állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",6,6,-0.4857,-0.7,-0.1,-0.4737,"ellentmond az elődöknek"
"F1","F1 · felső gerincmagasság (mm)","F1 gerincmagasság ↓","Felső állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",6,6,0.058,-0.1539,0.8721,-0.0491,"semleges (|ρ| ≤ 0,1)"
"F1","F1 · felső gerincmagasság (mm)","F1 gerincmagasság ↓","Felső állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",6,6,0,-0.2236,0.866,-0.1333,"semleges (|ρ| ≤ 0,1)"
"F1","F1 · felső gerincmagasság (mm)","F1 gerincmagasság ↓","Felső állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",6,6,0.3189,0.0513,0.5643,0.2998,"egyezik az elődökkel"
"F1","F1 · felső gerincmagasság (mm)","F1 gerincmagasság ↓","Felső állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",6,6,-0.5409,-0.7826,-0.3536,-0.4947,"ellentmond az elődöknek"
"F1","F1 · felső gerincmagasság (mm)","F1 gerincmagasság ↓","Felső állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",6,6,-0.4857,-0.8,-0.1,-0.4908,"ellentmond az elődöknek"
"F1","F1 · felső gerincmagasság (mm)","F1 gerincmagasság ↓","Felső állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",6,6,-0.4119,-0.8721,-0.1539,-0.4223,"ellentmond az elődöknek"
"F2","F2 · felső alámenősség térfogata (mm³)","F2 alámenősség (nyers)","Nincs tankönyvi irány",FALSE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",6,6,0.7143,0.5,0.8,0.6703,"nincs tankönyvi irány"
"F2","F2 · felső alámenősség térfogata (mm³)","F2 alámenősség (nyers)","Nincs tankönyvi irány",FALSE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",6,6,0.6,0.3,0.8,0.6208,"nincs tankönyvi irány"
"F2","F2 · felső alámenősség térfogata (mm³)","F2 alámenősség (nyers)","Nincs tankönyvi irány",FALSE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",6,6,0.7714,0.6,0.9,0.8377,"nincs tankönyvi irány"
"F2","F2 · felső alámenősség térfogata (mm³)","F2 alámenősség (nyers)","Nincs tankönyvi irány",FALSE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",6,6,0.3769,-0.1026,0.6669,0.4409,"nincs tankönyvi irány"
"F2","F2 · felső alámenősség térfogata (mm³)","F2 alámenősség (nyers)","Nincs tankönyvi irány",FALSE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",6,6,0.7715,0.5774,0.9487,0.8049,"nincs tankönyvi irány"
"F2","F2 · felső alámenősség térfogata (mm³)","F2 alámenősség (nyers)","Nincs tankönyvi irány",FALSE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",6,6,-0.3769,-0.6669,0.1026,-0.4048,"nincs tankönyvi irány"
"F2","F2 · felső alámenősség térfogata (mm³)","F2 alámenősség (nyers)","Nincs tankönyvi irány",FALSE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",6,6,-0.169,-0.7071,0.7071,-0.2538,"nincs tankönyvi irány"
"F2","F2 · felső alámenősség térfogata (mm³)","F2 alámenősség (nyers)","Nincs tankönyvi irány",FALSE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",6,6,0.9429,0.9,1,0.9633,"nincs tankönyvi irány"
"F2","F2 · felső alámenősség térfogata (mm³)","F2 alámenősség (nyers)","Nincs tankönyvi irány",FALSE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",6,6,-0.1471,-0.8208,0.0527,-0.0861,"nincs tankönyvi irány"
"F2s","F2/L³ · méretstandardizált alámenősség","F2/L³ (nyers)","Nincs tankönyvi irány",FALSE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",6,6,0.7143,0.5,0.8,0.6703,"nincs tankönyvi irány"
"F2s","F2/L³ · méretstandardizált alámenősség","F2/L³ (nyers)","Nincs tankönyvi irány",FALSE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",6,6,0.6,0.3,0.8,0.6208,"nincs tankönyvi irány"
"F2s","F2/L³ · méretstandardizált alámenősség","F2/L³ (nyers)","Nincs tankönyvi irány",FALSE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",6,6,0.7714,0.6,0.9,0.8377,"nincs tankönyvi irány"
"F2s","F2/L³ · méretstandardizált alámenősség","F2/L³ (nyers)","Nincs tankönyvi irány",FALSE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",6,6,0.3769,-0.1026,0.6669,0.4409,"nincs tankönyvi irány"
"F2s","F2/L³ · méretstandardizált alámenősség","F2/L³ (nyers)","Nincs tankönyvi irány",FALSE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",6,6,0.7715,0.5774,0.9487,0.8049,"nincs tankönyvi irány"
"F2s","F2/L³ · méretstandardizált alámenősség","F2/L³ (nyers)","Nincs tankönyvi irány",FALSE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",6,6,-0.3769,-0.6669,0.1026,-0.4048,"nincs tankönyvi irány"
"F2s","F2/L³ · méretstandardizált alámenősség","F2/L³ (nyers)","Nincs tankönyvi irány",FALSE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",6,6,-0.169,-0.7071,0.7071,-0.2538,"nincs tankönyvi irány"
"F2s","F2/L³ · méretstandardizált alámenősség","F2/L³ (nyers)","Nincs tankönyvi irány",FALSE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",6,6,0.9429,0.9,1,0.9633,"nincs tankönyvi irány"
"F2s","F2/L³ · méretstandardizált alámenősség","F2/L³ (nyers)","Nincs tankönyvi irány",FALSE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",6,6,-0.1471,-0.8208,0.0527,-0.0861,"nincs tankönyvi irány"
