predictor,outcome,outcome_scale,adjusted,n,status,likelihood_estimate,likelihood_se,likelihood_lo,likelihood_hi,neutral_post_mean,neutral_post_sd,neutral_post_lo,neutral_post_hi,neutral_post_p_expected_direction,neutral_post_p_rope_abs_lt_0_1,n_nonmissing,n_unique,certainty,elicited_q,note
F3_low_palate,OHIP_worse_rank,rank_normal,False,9,ok,0.7404933310276224,0.4236981356471418,-0.08995501484077562,1.5709416768960205,0.431000384805925,0.3232472257017632,-0.20255253567202108,1.064553305283871,0.908790852342099,0.10269931009637218,9,9,strong,0.98,per 1 SD lower vault
F3_low_palate,OHIP_worse_rank,rank_normal,True,8,insufficient_data,,,,,,,,,,,9,9,strong,0.98,per 1 SD lower vault
F3_low_palate,GOHAI_worse,raw_z,False,9,ok,0.47275134302808286,0.5498439318840412,-0.6049427634646379,1.5504454495208035,0.21398111445674242,0.369922522107417,-0.511053705944017,0.9390159348575017,0.7185193087990895,0.18099175072550777,9,9,strong,0.98,per 1 SD lower vault
F3_low_palate,GOHAI_worse,raw_z,True,8,insufficient_data,,,,,,,,,,,9,9,strong,0.98,per 1 SD lower vault
F3_low_palate,GOHAI_worse_rank,rank_normal,False,9,ok,0.4376921378079092,0.46361099247841925,-0.4709854074497925,1.346369683065611,0.23535117510398876,0.33995977846182457,-0.43095774687340316,0.9016600970813805,0.7556227735310048,0.18330622136195812,9,9,strong,0.98,per 1 SD lower vault
F3_low_palate,GOHAI_worse_rank,rank_normal,True,8,insufficient_data,,,,,,,,,,,9,9,strong,0.98,per 1 SD lower vault
F4_low_angle,MAI_worse,raw_z,False,8,ok,0.4724329414575307,0.3697817641325443,-0.25233931624225614,1.1972051991573176,0.30539555578890315,0.2973081129010752,-0.27731763780877267,0.8881087493865789,0.8478373752443955,0.15847559744450612,9,9,moderate,0.9,per 1 SD lower angle
F4_low_angle,MAI_worse,raw_z,True,8,insufficient_data,,,,,,,,,,,9,9,moderate,0.9,per 1 SD lower angle
F4_low_angle,MAI_worse_rank,rank_normal,False,8,ok,0.42362279463576236,0.297606416106537,-0.15968578093305008,1.0069313702045748,0.3128033504976777,0.255733915202932,-0.18842591292548927,0.8140326139208446,0.8893652576517391,0.1494253342455215,9,9,moderate,0.9,per 1 SD lower angle
F4_low_angle,MAI_worse_rank,rank_normal,True,8,insufficient_data,,,,,,,,,,,9,9,moderate,0.9,per 1 SD lower angle
F4_low_angle,OHIP_worse,raw_z,False,9,ok,0.9199036964849217,0.42965160232066746,0.07778655593641348,1.7620208370334298,0.5291662675285711,0.32586771070000076,-0.10952270916794815,1.1678552442250902,0.9477980475684321,0.06716256503295913,9,9,moderate,0.9,per 1 SD lower angle
F4_low_angle,OHIP_worse,raw_z,True,8,insufficient_data,,,,,,,,,,,9,9,moderate,0.9,per 1 SD lower angle
F4_low_angle,OHIP_worse_rank,rank_normal,False,9,ok,0.7247390564386619,0.4048488616824901,-0.06876471245901872,1.5182428253363425,0.4377473438364791,0.31463993897177306,-0.17893560464607677,1.054430292319035,0.9179273665360168,0.09781937116346115,9,9,moderate,0.9,per 1 SD lower angle
F4_low_angle,OHIP_worse_rank,rank_normal,True,8,insufficient_data,,,,,,,,,,,9,9,moderate,0.9,per 1 SD lower angle
F4_low_angle,GOHAI_worse,raw_z,False,9,ok,0.951399363660599,0.3559470081310859,0.25374322772367064,1.6490554995975273,0.6314067735832415,0.28997365110805096,0.06306886094587838,1.1997446862206045,0.9852769644546943,0.027601611778837683,9,9,moderate,0.9,per 1 SD lower angle
F4_low_angle,GOHAI_worse,raw_z,True,8,insufficient_data,,,,,,,,,,,9,9,moderate,0.9,per 1 SD lower angle
F4_low_angle,GOHAI_worse_rank,rank_normal,False,9,ok,0.7404255055232642,0.24180775191901857,0.26648231176198783,1.2143686992845406,0.6000770997882945,0.21768728402334175,0.17341786321020303,1.026736336366386,0.9970797261146608,0.010152904370447012,9,9,moderate,0.9,per 1 SD lower angle
F4_low_angle,GOHAI_worse_rank,rank_normal,True,8,insufficient_data,,,,,,,,,,,9,9,moderate,0.9,per 1 SD lower angle
F5_any_flabby,MAI_worse,raw_z,False,34,ok,0.10904563494203799,0.41308821817416885,-0.700607272679333,0.918698542563409,0.06480906987938187,0.31846122402464594,-0.5593634596814662,0.6889815994402296,0.5806305898998378,0.2415970939655847,39,2,weak,0.8,any vs none
F5_any_flabby,MAI_worse,raw_z,True,31,ok,0.3120577410756437,0.45257629300212204,-0.5749917932085156,1.1991072753598029,0.17152615542609775,0.33553628933814483,-0.48611288718287726,0.8291651980350725,0.6953944951585068,0.2064059929459191,39,2,weak,0.8,any vs none
F5_any_flabby,MAI_worse_rank,rank_normal,False,34,ok,-0.044858784429528405,0.39112636891311503,-0.8114664674992338,0.721748898640177,-0.02782942244932571,0.3080671865407617,-0.6316300128878013,0.5759711679891497,0.4640102806126393,0.2535190219711028,39,2,weak,0.8,any vs none
F5_any_flabby,MAI_worse_rank,rank_normal,True,31,ok,0.0808370690696106,0.4473599781566669,-0.7959884881174565,0.9576626262566778,0.04489641795320558,0.3333939352137739,-0.6085436877298716,0.6983365236362825,0.5535615359768048,0.23371579359811462,39,2,weak,0.8,any vs none
F5_any_flabby,OHIP_worse,raw_z,False,39,ok,0.3654566641577937,0.42167670213668274,-0.4610296720301044,1.191943000345692,0.21356186387066267,0.32234691269872523,-0.41822647554651593,0.8453502032878412,0.746181572813456,0.19696812420276993,39,2,weak,0.8,any vs none
F5_any_flabby,OHIP_worse,raw_z,True,33,ok,0.37611634722946496,0.4857465988805423,-0.5759469865763979,1.3281796810353277,0.1934954904220179,0.3484047661740872,-0.4893653033212921,0.8763562841653278,0.7106810954089493,0.19443118159226735,39,2,weak,0.8,any vs none
F5_any_flabby,OHIP_worse_rank,rank_normal,False,39,ok,0.38665595333237796,0.35777612053429275,-0.31458524291483586,1.0878971495795917,0.25572229829222115,0.2909600075903228,-0.31454883752631246,0.8259934341107547,0.8102699654439027,0.18551126865120043,39,2,weak,0.8,any vs none
F5_any_flabby,OHIP_worse_rank,rank_normal,True,33,ok,0.4640915730548326,0.436912310670768,-0.39225655585987274,1.320439701969538,0.2631546878355317,0.3290015893540318,-0.3816765781548072,0.9079859538258706,0.788103581391303,0.17514133104462004,39,2,weak,0.8,any vs none
F5_any_flabby,GOHAI_worse,raw_z,False,39,ok,0.2992327773632687,0.4456095698659495,-0.5741619795739923,1.1726275343005297,0.16677117603817135,0.33266753718201014,-0.485245215664208,0.8187875677405505,0.6919252216127758,0.20915994896544232,39,2,weak,0.8,any vs none
F5_any_flabby,GOHAI_worse,raw_z,True,33,ok,0.2636600405989623,0.5178625063315022,-0.7513504718107821,1.2786705530087068,0.12720446513507294,0.3597025276757016,-0.5777995342573243,0.8322084645274701,0.6381948857383679,0.20604726375618343,39,2,weak,0.8,any vs none
F5_any_flabby,GOHAI_worse_rank,rank_normal,False,39,ok,0.3860728024689565,0.4059494161945459,-0.4095880532723535,1.1817336582102664,0.23268896021523186,0.31515572922510743,-0.38500491858743613,0.8503828390178998,0.7698430593211188,0.19129997749294453,39,2,weak,0.8,any vs none
F5_any_flabby,GOHAI_worse_rank,rank_normal,True,33,ok,0.35056427724682665,0.4825967582500948,-0.5953253689233591,1.2964539234170125,0.18148920328822352,0.3472369779370348,-0.49908276756889425,0.862061174145341,0.6993968902014525,0.19844690273841725,39,2,weak,0.8,any vs none
F6_deviation_from_90,MAI_worse,raw_z,False,8,ok,-0.1634217733388203,0.4978678179179411,-1.139242696457985,0.8123991497803442,-0.08206007458769382,0.35279713425672216,-0.7735297515798115,0.6094096024044238,0.40803660671347813,0.2173670701934558,9,9,strong,0.98,per 1 SD absolute deviation
F6_deviation_from_90,MAI_worse,raw_z,True,8,insufficient_data,,,,,,,,,,,9,9,strong,0.98,per 1 SD absolute deviation
F6_deviation_from_90,MAI_worse_rank,rank_normal,False,8,ok,-0.36074352257701825,0.6654544840637056,-1.665034311341881,0.9435472661878447,-0.13017034994666024,0.3997377109097212,-0.9136418665921978,0.6533011666988772,0.3723485978387999,0.18754422515322544,9,9,strong,0.98,per 1 SD absolute deviation
F6_deviation_from_90,MAI_worse_rank,rank_normal,True,8,insufficient_data,,,,,,,,,,,9,9,strong,0.98,per 1 SD absolute deviation
F6_deviation_from_90,OHIP_worse,raw_z,False,9,ok,-0.6649869533082398,1.5967065413222945,-3.7945317742999367,2.464557867683457,-0.05938503812330735,0.4771523443192561,-0.9945864481279045,0.8758163718812898,0.4504766486407418,0.16473979513754144,9,9,strong,0.98,per 1 SD absolute deviation
F6_deviation_from_90,OHIP_worse,raw_z,True,8,insufficient_data,,,,,,,,,,,9,9,strong,0.98,per 1 SD absolute deviation
F6_deviation_from_90,OHIP_worse_rank,rank_normal,False,9,ok,-0.5557210229861587,1.4326385751870934,-3.363692630352862,2.252250584380544,-0.06034009746216171,0.4720752493341844,-0.9855905841499295,0.8649103892256058,0.4491461812465341,0.1664162164121628,9,9,strong,0.98,per 1 SD absolute deviation
F6_deviation_from_90,OHIP_worse_rank,rank_normal,True,8,insufficient_data,,,,,,,,,,,9,9,strong,0.98,per 1 SD absolute deviation
F6_deviation_from_90,GOHAI_worse,raw_z,False,9,ok,-0.7079493598125939,0.3939126760936729,-1.4800182049561927,0.06411948533100498,-0.43682544275863633,0.3094231640965045,-1.0432837003702125,0.16963281485293957,0.07901308217093406,0.09679695101622421,9,9,strong,0.98,per 1 SD absolute deviation
F6_deviation_from_90,GOHAI_worse,raw_z,True,8,insufficient_data,,,,,,,,,,,9,9,strong,0.98,per 1 SD absolute deviation
F6_deviation_from_90,GOHAI_worse_rank,rank_normal,False,9,ok,-0.6943087684485828,0.24228457155671193,-1.169186528699738,-0.21943100819742745,-0.5622810895725748,0.21803497953846052,-0.9896217968378851,-0.13494038230726463,0.0049563869185098594,0.01580119834402549,9,9,strong,0.98,per 1 SD absolute deviation
F6_deviation_from_90,GOHAI_worse_rank,rank_normal,True,8,insufficient_data,,,,,,,,,,,9,9,strong,0.98,per 1 SD absolute deviation
F7_any_torus,MAI_worse,raw_z,False,34,ok,-0.9505176963571159,0.40594838980993636,-1.746176540384591,-0.1548588523296407,-0.5728852624597831,0.3151552489714933,-1.1905781999826641,0.044807675063097574,0.03454831129221618,0.050367825120113285,39,2,strong,0.98,any vs none
F7_any_torus,MAI_worse,raw_z,True,31,ok,-0.7887470488743147,0.4512298831267782,-1.6731576198028,0.09566352205417061,-0.43470702700871694,0.3349865037464807,-1.091268509658811,0.22185445564137712,0.09719776627115184,0.10363566163304694,39,2,strong,0.98,any vs none
F7_any_torus,MAI_worse_rank,rank_normal,False,34,ok,-0.9346802199133248,0.3528709458768723,-1.6263072738319946,-0.2430531659946552,-0.6239222536642353,0.28830330006967947,-1.1889863384248511,-0.0588581689036195,0.015227661501132769,0.028568684551165235,39,2,strong,0.98,any vs none
F7_any_torus,MAI_worse_rank,rank_normal,True,31,ok,-0.8410570053516884,0.4220965356622297,-1.6683662152496586,-0.013747795453718181,-0.4910817394181655,0.3225343427736019,-1.123237435031722,0.14107395619539081,0.06393291742357485,0.07922545787737978,39,2,strong,0.98,any vs none
F7_any_torus,OHIP_worse,raw_z,False,39,ok,-0.6148235297204506,0.30032598731309607,-1.2034624648541188,-0.02618459458678235,-0.4518160665685678,0.25745332714313107,-0.9564153154691131,0.052783182331977374,0.03963447843705249,0.06984536724329649,39,2,strong,0.98,any vs none
F7_any_torus,OHIP_worse,raw_z,True,33,ok,-0.721945233655213,0.3550573610804567,-1.4178576613729081,-0.02603280593751789,-0.4799328792289042,0.2894920528517206,-1.0473268766288426,0.08746111817103402,0.04867440340043946,0.07211679722642583,39,2,strong,0.98,any vs none
F7_any_torus,OHIP_worse_rank,rank_normal,False,39,ok,-0.5127033674337637,0.3318327027583622,-1.1630954648401537,0.13768872997262627,-0.3559323386877651,0.27648388512427075,-0.8978307958370455,0.18596611846151523,0.09898565188383823,0.12773926094560473,39,2,strong,0.98,any vs none
F7_any_torus,OHIP_worse_rank,rank_normal,True,33,ok,-0.5888442334394877,0.3582783688543666,-1.2910698363940463,0.11338136951507083,-0.38907320954017827,0.29122995219518083,-0.9598734270620546,0.18172700798169777,0.09078025210750412,0.11391063573549187,39,2,strong,0.98,any vs none
F7_any_torus,GOHAI_worse,raw_z,False,39,ok,-0.06023516946922935,0.33950200346776294,-0.7256590962660447,0.605188757327586,-0.04122741602251099,0.2808732186570603,-0.5917288088121928,0.5092739767671707,0.4416516483565755,0.2753262813479039,39,2,strong,0.98,any vs none
F7_any_torus,GOHAI_worse,raw_z,True,33,ok,-0.17221237734732095,0.4092419297960389,-0.9743265597475572,0.6299018050529153,-0.10312638183147763,0.3166888940041071,-0.7238252083833503,0.517572444720395,0.372348598881896,0.2354324321166429,39,2,strong,0.98,any vs none
F7_any_torus,GOHAI_worse_rank,rank_normal,False,39,ok,0.011933747587116914,0.3226591995495669,-0.6204782835300342,0.6443457787042681,0.008425194620180576,0.27111003875291384,-0.522940717182789,0.53979110642315,0.5123957985316415,0.28763065062173865,39,2,strong,0.98,any vs none
F7_any_torus,GOHAI_worse_rank,rank_normal,True,33,ok,-0.12289741205463832,0.38105545333491636,-0.8697661005910744,0.6239712764817977,-0.07774316722237762,0.30307347405408863,-0.671756261037826,0.5162699265930706,0.39877624944349777,0.25049061938144573,39,2,strong,0.98,any vs none
A1_ridge_saturated,MAI_worse,raw_z,False,35,ok,0.21916264494413987,0.47308661052476725,-0.708087111684404,1.1464124015726838,0.11563823560872478,0.3436434879711389,-0.557890624336431,0.7891670955538803,0.631755489741983,0.2166876263247854,41,4,strong,0.98,best-to-worst saturated contrast
A1_ridge_saturated,MAI_worse,raw_z,True,32,ok,0.18031804075833538,0.6056838893206276,-1.0068223823100946,1.3674584638267653,0.07307982956320182,0.38558949627162026,-0.6826616959461155,0.828821355072519,0.5751603146830999,0.2010673289658511,41,4,strong,0.98,best-to-worst saturated contrast
A1_ridge_saturated,MAI_worse_rank,rank_normal,False,35,ok,0.024700899258257466,0.49813454732011286,-0.9516428134891637,1.0010446120056786,0.012396613944242943,0.3528920045250112,-0.6792590053569248,0.7040522332454107,0.5140114154257255,0.22297495838359926,41,4,strong,0.98,best-to-worst saturated contrast
A1_ridge_saturated,MAI_worse_rank,rank_normal,True,32,ok,-0.028511374080129687,0.6669551663727245,-1.3357435001706697,1.2787207520104102,-0.010258411106042744,0.40006229005621596,-0.7943660911888428,0.7738492689767571,0.4897714291372782,0.19731900851994544,41,4,strong,0.98,best-to-worst saturated contrast
A1_ridge_saturated,OHIP_worse,raw_z,False,41,ok,0.6958667854320096,0.40336083644565585,-0.09472045400147577,1.4864540248654952,0.42153310243226544,0.31393990142111156,-0.19377779766316833,1.036844002527699,0.9103185264592102,0.10454204395631361,41,4,strong,0.98,best-to-worst saturated contrast
A1_ridge_saturated,OHIP_worse,raw_z,True,35,ok,0.9218281437650188,0.4215028096983311,0.09568263675628985,1.7479736507737478,0.5388732804329746,0.32226921215084475,-0.09276276870877931,1.1705093295747282,0.9527498177035021,0.06291097852475236,41,4,strong,0.98,best-to-worst saturated contrast
A1_ridge_saturated,OHIP_worse_rank,rank_normal,False,41,ok,0.8430372639313821,0.4037933332885764,0.05160233068577236,1.6344721971769918,0.5102525061299517,0.314143683479684,-0.10545779946097955,1.1259628117208829,0.9478403396894272,0.06975380797220519,41,4,strong,0.98,best-to-worst saturated contrast
A1_ridge_saturated,OHIP_worse_rank,rank_normal,True,35,ok,1.0285227848396092,0.4706364554000251,0.1060753322555601,1.9509702374236584,0.5453476559991979,0.34270096817941814,-0.1263338990994689,1.2170292110978647,0.9442314575473602,0.06704038658468381,41,4,strong,0.98,best-to-worst saturated contrast
A1_ridge_saturated,GOHAI_worse,raw_z,False,41,ok,0.4458423475798727,0.47931585889077916,-0.4936167358460544,1.3853014310057998,0.23233361609106398,0.34600881735076366,-0.4458312042497308,0.9104984364318585,0.7490385668808899,0.18265355432327468,41,4,strong,0.98,best-to-worst saturated contrast
A1_ridge_saturated,GOHAI_worse,raw_z,True,35,ok,0.7935255325743664,0.5760429468856892,-0.33551864332158443,1.9225697084703173,0.34096372727354424,0.37759697011362386,-0.3991127348206059,1.0810401893676942,0.8167325991815735,0.1402473040942448,41,4,strong,0.98,best-to-worst saturated contrast
A1_ridge_saturated,GOHAI_worse_rank,rank_normal,False,41,ok,0.659255850975227,0.4798454863686794,-0.28124130230738464,1.5997530042578387,0.3431824726597914,0.34620789474066005,-0.33537253219533647,1.021737477514919,0.8392209869016889,0.14095533024394852,41,4,strong,0.98,best-to-worst saturated contrast
A1_ridge_saturated,GOHAI_worse_rank,rank_normal,True,35,ok,0.9516859814860572,0.6186650137102055,-0.2608974453859456,2.1642694083580603,0.37601398550263304,0.38887562307347046,-0.3861682301869425,1.1381962011922084,0.8332095083576179,0.1284605493155328,41,4,strong,0.98,best-to-worst saturated contrast
A3_category_2_proportion,MAI_worse,raw_z,False,35,ok,-0.5745674216388259,0.5772693926096925,-1.7060154311538231,0.5568805878761713,-0.24628260633522606,0.3779417790773327,-0.987034881579792,0.49446966890933974,0.2573161847060028,0.1695869242886584,41,3,exploratory,,proportion of sides in category 2; category 1 reference
A3_category_2_proportion,MAI_worse,raw_z,True,32,ok,-0.47056990669472276,0.6866967309524846,-1.8164954993615927,0.8753556859721471,-0.16304079457657308,0.4042044089673306,-0.9552668785448402,0.6291852893916938,0.3433408815145459,0.1804311004832756,41,3,exploratory,,proportion of sides in category 2; category 1 reference
A3_category_2_proportion,MAI_worse_rank,rank_normal,False,35,ok,-0.45034717274404734,0.4947306587107943,-1.420019263817204,0.5193249183291094,-0.22755912294260922,0.35167559423117645,-0.9168306218774371,0.46171237599221865,0.2587929556194031,0.18259060261669735,41,3,exploratory,,proportion of sides in category 2; category 1 reference
A3_category_2_proportion,MAI_worse_rank,rank_normal,True,32,ok,-0.36447209462234864,0.5409814279815706,-1.4247956934662271,0.6958515042215297,-0.1679096886201903,0.3671876728408575,-0.8875843029553473,0.5517649257149666,0.3237328371069645,0.19382651224035596,41,3,exploratory,,proportion of sides in category 2; category 1 reference
A3_category_2_proportion,OHIP_worse,raw_z,False,41,ok,-0.6593255074951309,0.2547943890196135,-1.1587225099735732,-0.15992850501668843,-0.523406840806529,0.2270176471599634,-0.968353253095079,-0.07846042851797908,0.010567118289015956,0.02806918406206882,41,3,exploratory,,proportion of sides in category 2; category 1 reference
A3_category_2_proportion,OHIP_worse,raw_z,True,35,ok,-0.6423705293990304,0.37521347103060704,-1.37778893261902,0.09304787382095936,-0.4109486576582875,0.30010926357501,-0.9991520056921455,0.1772546903755704,0.08544805151789164,0.10574661462597823,41,3,exploratory,,proportion of sides in category 2; category 1 reference
A3_category_2_proportion,OHIP_worse_rank,rank_normal,False,41,ok,-0.6568827197096377,0.3021382048002678,-1.2490736011181627,-0.0646918383011128,-0.48117989211318674,0.2585922238618864,-0.9880113375646034,0.025651553338229827,0.03138853955598525,0.05792820871738413,41,3,exploratory,,proportion of sides in category 2; category 1 reference
A3_category_2_proportion,OHIP_worse_rank,rank_normal,True,35,ok,-0.649147220924128,0.4804703771754791,-1.590869160188067,0.29257471833981097,-0.3374986032134986,0.3464423738281906,-1.016513178635314,0.3415159722083168,0.1649826040063117,0.14317824579198302,41,3,exploratory,,proportion of sides in category 2; category 1 reference
A3_category_2_proportion,GOHAI_worse,raw_z,False,41,ok,-0.6893469422161801,0.37235203067769107,-1.4191569223444547,0.04046303791209438,-0.4434285188706242,0.2986390603745664,-1.0287503215816574,0.14189328384040878,0.06879430589290281,0.0906727274700675,41,3,exploratory,,proportion of sides in category 2; category 1 reference
A3_category_2_proportion,GOHAI_worse,raw_z,True,35,ok,-0.6544082463262397,0.48323889428449707,-1.601556479123854,0.29273998647137456,-0.33835646810404846,0.3474759426378805,-1.0193968011684003,0.34268386496030306,0.16508907813184315,0.14281115388598875,41,3,exploratory,,proportion of sides in category 2; category 1 reference
A3_category_2_proportion,GOHAI_worse_rank,rank_normal,False,41,ok,-0.5566857453663473,0.3598053516026364,-1.2619042345075147,0.14853274377481995,-0.36676191509848055,0.2920483010124521,-0.9391660668289994,0.20564223663203818,0.10458949077357549,0.12551629911670903,41,3,exploratory,,proportion of sides in category 2; category 1 reference
A3_category_2_proportion,GOHAI_worse_rank,rank_normal,True,35,ok,-0.524831567988077,0.5222192864415305,-1.5483813694134767,0.4987182334373227,-0.25101326393496276,0.3611530340598977,-0.9588602035997298,0.4568336757298041,0.24351732161322126,0.17237743186918275,41,3,exploratory,,proportion of sides in category 2; category 1 reference
A3_category_3_proportion,MAI_worse,raw_z,False,35,ok,-1.5717093890123943,0.7494559288203989,-3.0406430095003762,-0.10277576852441239,-0.48408895043162925,0.41593221674506176,-1.299301115261858,0.3311232143985994,0.12223936224999832,0.09777222643777317,41,3,exploratory,,proportion of sides in category 3; category 1 reference
A3_category_3_proportion,MAI_worse,raw_z,True,32,ok,-1.5217543421441748,0.8755639544586873,-3.2378596928832017,0.19435100859485233,-0.37422192177669183,0.4341903946853318,-1.2252194577931736,0.4767756142397898,0.19437557097516422,0.12646070611989702,41,3,exploratory,,proportion of sides in category 3; category 1 reference
A3_category_3_proportion,MAI_worse_rank,rank_normal,False,35,ok,-1.483503368467873,0.5791551675025365,-2.6186474967728444,-0.34835924016290143,-0.6335201967070301,0.37846951155772435,-1.3753068086066356,0.1082664151925754,0.0470751059901995,0.05301321905325185,41,3,exploratory,,proportion of sides in category 3; category 1 reference
A3_category_3_proportion,MAI_worse_rank,rank_normal,True,32,ok,-1.49418039066027,0.6908449291974192,-2.8482364518872116,-0.1401243294333283,-0.5136287545482534,0.40504541683753725,-1.3075031836528401,0.2802456745563332,0.10238523702451069,0.08869105830005208,41,3,exploratory,,proportion of sides in category 3; category 1 reference
A3_category_3_proportion,OHIP_worse,raw_z,False,41,ok,-0.04419174555950605,0.4824385715337987,-0.9897713457657514,0.9013878546467394,-0.02288556315226852,0.34717803962388155,-0.7033420170382964,0.6575708907337591,0.47372123255874654,0.22620279448904984,41,3,exploratory,,proportion of sides in category 3; category 1 reference
A3_category_3_proportion,OHIP_worse,raw_z,True,35,ok,0.2112128024387484,0.6061689887546483,-0.9768784155203624,1.3993040203978593,0.08551944889052113,0.3857145676820326,-0.6704672120787001,0.8415061098597421,0.5877328741414218,0.19970685133358057,41,3,exploratory,,proportion of sides in category 3; category 1 reference
A3_category_3_proportion,OHIP_worse_rank,rank_normal,False,41,ok,0.12427008042860054,0.4767758337324094,-0.8102105536869219,1.0587507145441228,0.06508806003141034,0.34504966356587813,-0.6111968534353734,0.741372973498194,0.574810115090827,0.22413004284353089,41,3,exploratory,,proportion of sides in category 3; category 1 reference
A3_category_3_proportion,OHIP_worse_rank,rank_normal,True,35,ok,0.3866136916811848,0.6081706082014802,-0.8054007003937163,1.578628083756086,0.1559249371609145,0.3862287525089847,-0.6010695075505297,0.9129193818723585,0.6567875096293618,0.1886501130590978,41,3,exploratory,,proportion of sides in category 3; category 1 reference
A3_category_3_proportion,GOHAI_worse,raw_z,False,41,ok,-0.06963297137253036,0.6251924855224658,-1.295010242996563,1.1557443002515024,-0.02716363875544041,0.3904813162877412,-0.7924929553152069,0.738165677804326,0.47227014542632545,0.2016440067915688,41,3,exploratory,,proportion of sides in category 3; category 1 reference
A3_category_3_proportion,GOHAI_worse,raw_z,True,35,ok,0.06882409771235402,0.7440277225484501,-1.389470238482608,1.527118433907316,0.021411786342836754,0.41499733235386715,-0.7919680387509419,0.8347916114366154,0.5205742972921017,0.19016964927673397,41,3,exploratory,,proportion of sides in category 3; category 1 reference
