"pred","pred_rovid","csoport","out","out_rovid","r_ns","n_atbillenes_expert","n_95pct_semleges","P_expert_n6","P_expert_n30","P_expert_n100","adat_iranya","jelentes"
"A12","A12 spinae mentales","Alsó állcsont","s_RAGAS","Önbev. rágás",0.2441,,60,0.7909,0.9512,0.9974,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A2","A2 gerincmagasság ↓","Alsó állcsont","s_GOHAI","GOHAI",0.3206,,40,0.9718,0.9984,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A2","A2 gerincmagasság ↓","Alsó állcsont","s_INDEX","Siker-index",0.4462,,20,0.9814,0.9998,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A2","A2 gerincmagasság ↓","Alsó állcsont","s_MAI","MAI",-0.3696,15,25,0.802,0.0995,2e-4,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A2","A2 gerincmagasság ↓","Alsó állcsont","s_OHIP","OHIP-5",0.3626,,25,0.9754,0.9991,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A2","A2 gerincmagasság ↓","Alsó állcsont","s_RAGAS","Önbev. rágás",0.2498,,50,0.9649,0.9958,0.9998,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A4","A4 torus mandibularis","Alsó állcsont","s_GOHAI","GOHAI",-0,,,0.6912,0.7033,0.719,"nincs jel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A4","A4 torus mandibularis","Alsó állcsont","s_INDEX","Siker-index",-0,,,0.6912,0.7033,0.719,"nincs jel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A4","A4 torus mandibularis","Alsó állcsont","s_MAI","MAI",0.8113,,8,0.9388,1,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A4","A4 torus mandibularis","Alsó állcsont","s_OHIP","OHIP-5",-0.0031,,,0.6899,0.6981,0.7079,"nincs jel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A4","A4 torus mandibularis","Alsó állcsont","s_RAGAS","Önbev. rágás",0.1703,,100,0.7548,0.9028,0.9841,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A5","A5 lingualis tasak ↑","Alsó állcsont","s_GOHAI","GOHAI",0.2015,,80,0.7875,0.9363,0.9927,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A5","A5 lingualis tasak ↑","Alsó állcsont","s_INDEX","Siker-index",0.1056,,300,0.7507,0.8635,0.9456,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A5","A5 lingualis tasak ↑","Alsó állcsont","s_MAI","MAI",-0.4684,6,20,0.4437,0.0167,0,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A5","A5 lingualis tasak ↑","Alsó állcsont","s_OHIP","OHIP-5",-0.0508,150,,0.6827,0.6307,0.5225,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A5","A5 lingualis tasak ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",0.0013,,,0.7065,0.7255,0.7306,"nincs jel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F1","F1 gerincmagasság ↓","Felső állcsont","s_GOHAI","GOHAI",-0.0857,100,500,0.807,0.6877,0.455,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F1","F1 gerincmagasság ↓","Felső állcsont","s_INDEX","Siker-index",0.0399,,,0.853,0.8978,0.9258,"nincs jel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F1","F1 gerincmagasság ↓","Felső állcsont","s_MAI","MAI",-0.4737,8,20,0.5817,0.0117,0,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F1","F1 gerincmagasság ↓","Felső állcsont","s_OHIP","OHIP-5",-0.0491,,,0.8215,0.7679,0.6526,"nincs jel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F1","F1 gerincmagasság ↓","Felső állcsont","s_RAGAS","Önbev. rágás",-0.1333,40,200,0.7867,0.5619,0.2119,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F3","F3 boltozat ↓","Felső állcsont","s_GOHAI","GOHAI",0.8592,,6,0.973,1,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F3","F3 boltozat ↓","Felső állcsont","s_INDEX","Siker-index",0.6036,,12,0.9367,0.9998,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F3","F3 boltozat ↓","Felső állcsont","s_MAI","MAI",0.4738,,20,0.9143,0.9983,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F3","F3 boltozat ↓","Felső állcsont","s_OHIP","OHIP-5",0.4317,,20,0.9061,0.9971,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F3","F3 boltozat ↓","Felső állcsont","s_RAGAS","Önbev. rágás",0.4989,,15,0.9189,0.9988,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F4","F4 gerincalak-szög ↓","Felső állcsont","s_GOHAI","GOHAI",0.3966,,25,0.807,0.9878,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F4","F4 gerincalak-szög ↓","Felső állcsont","s_INDEX","Siker-index",0.6208,,12,0.8783,0.9997,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F4","F4 gerincalak-szög ↓","Felső állcsont","s_MAI","MAI",0.1987,,80,0.7345,0.9149,0.9907,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F4","F4 gerincalak-szög ↓","Felső állcsont","s_OHIP","OHIP-5",0.7903,,8,0.9273,1,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F4","F4 gerincalak-szög ↓","Felső állcsont","s_RAGAS","Önbev. rágás",0.4989,,15,0.8408,0.9969,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F5","F5 lötyögő gerinc","Felső állcsont","s_GOHAI","GOHAI",0.2794,,40,0.941,0.9922,0.9998,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F5","F5 lötyögő gerinc","Felső állcsont","s_INDEX","Siker-index",0.6283,,10,0.9817,1,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F5","F5 lötyögő gerinc","Felső állcsont","s_MAI","MAI",0.2794,,40,0.941,0.9922,0.9998,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F5","F5 lötyögő gerinc","Felső állcsont","s_OHIP","OHIP-5",0.8192,,8,0.9937,1,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F5","F5 lötyögő gerinc","Felső állcsont","s_RAGAS","Önbev. rágás",0.6857,,10,0.9859,1,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F6","F6 |szög−90°| ↑","Felső állcsont","s_GOHAI","GOHAI",-0.0588,100,,0.6827,0.6215,0.4886,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F6","F6 |szög−90°| ↑","Felső állcsont","s_INDEX","Siker-index",0.1717,,100,0.7673,0.9045,0.983,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F6","F6 |szög−90°| ↑","Felső állcsont","s_MAI","MAI",0.4908,,15,0.8621,0.9962,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F6","F6 |szög−90°| ↑","Felső állcsont","s_OHIP","OHIP-5",0.02,,,0.7135,0.7476,0.7792,"nincs jel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F6","F6 |szög−90°| ↑","Felső állcsont","s_RAGAS","Önbev. rágás",0.1352,,200,0.755,0.8765,0.9646,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F7","F7 torus palatinus","Felső állcsont","s_GOHAI","GOHAI",0,,,0.5257,0.5316,0.5405,"nincs jel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F7","F7 torus palatinus","Felső állcsont","s_INDEX","Siker-index",-0.3489,6,30,0.3589,0.0516,3e-4,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F7","F7 torus palatinus","Felső állcsont","s_MAI","MAI",-0.6283,6,10,0.2208,6e-4,0,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F7","F7 torus palatinus","Felső állcsont","s_OHIP","OHIP-5",-0.3474,6,30,0.3597,0.0524,3e-4,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"F7","F7 torus palatinus","Felső állcsont","s_RAGAS","Önbev. rágás",-0.3429,6,30,0.3619,0.0549,4e-4,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"TUB","A6–A9 tuberculum ↑","Alsó állcsont","s_GOHAI","GOHAI",0.61,,12,0.9499,0.9999,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"TUB","A6–A9 tuberculum ↑","Alsó állcsont","s_INDEX","Siker-index",0.7349,,8,0.9685,1,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"TUB","A6–A9 tuberculum ↑","Alsó állcsont","s_MAI","MAI",0.0801,,500,0.8294,0.8906,0.9463,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"TUB","A6–A9 tuberculum ↑","Alsó állcsont","s_OHIP","OHIP-5",0.8776,,6,0.9868,1,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"TUB","A6–A9 tuberculum ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",0.7548,,8,0.9713,1,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
